,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
1556878199027930272,TAM recebe primeira aeronave com o design e pintura da LATAM e avança na implantação da nova marca!,Motion with Meaning: Semantic Animation in Interface Design,"contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object","Facebook details its company-wide machine learning platform, FBLearner Flow",LOGOBR School | Behance Reviews Campinas 2016,Designer Creates 13 Perfect Circles to Draw Almost Any Animal
1561244083438776495,New Amazon Linux Container Image for Cloud and On-Premises Workloads,Up your DevOps chops with this online Kubernetes class,Do You Suffer From Deployment Anxiety? - DZone DevOps,Are you a bitcoin denialist? - Chris Skinner's blog,The Ten Commandments of Egoless Programming,Amazon EBS Update - New Elastic Volumes Change Everything | AWS Blog
1567984561327445971,Testes unitários vs aceitação - Android Dev BR,"ConstraintLayout, Inside and Out: Part 2",Incendies (2010),Test Driven Development by Example: Validation in Java,"ConstraintLayout, Inside and Out: Part 1","Finding an apartment to rent is as easy as hitting ""Send"" with Trulia's new Facebook Messenger bot"
1577045425286888616,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Savage Love Letter of the Day: Get Out There and Fight,The Language of Beauty Ads,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",Feito por Elas #01 Agnieszka Holland | AntiCast,#iLookLikeAnEngineer: One Year Later
1580124381109623727,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Self-Learning AI: This New Neuro-Inspired Computer Trains Itself,Blaise Agüera y Arcas: How computers are learning to be creative,The return of the machinery question,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery
1582315529508020223,Analytics startup Amplitude raises $15M,Infographic Dutch Fintech Scene - HollandFintech.com,TI Bimodal? Receita para o desastre...,Hero unveils a new home gadget to help you track and dispense pills,Operator fuses bots with humans to build cyborg shopping experts,Bot da Chevrolet te ajuda a alcançar as resoluções de ano novo
1586004000405879970,Gold Backed Digix Raises Millions in Hours on Ethereum Blockchain Crowdsale,CoreOS's rkt Container Engine Hits 1.0,Soylent's new drink will replace your breakfast and morning coffee,Spotify's Event Delivery - The Road to the Cloud (Part III),Monitor your application errors with Stackdriver Error Reporting,Google Is About to Supercharge Its TensorFlow Open Source AI
1590841424376000970,Skully officially admits it's over,Shutter Island (2010),How to choose algorithms for Microsoft Azure Machine Learning,Accept questions from your audience when presenting in Google Slides,Google HR chief Laszlo Bock leaving to launch startup,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business
1595230810451459837,Event Map For Google I/O 2016 Released,New Sessions Added To Google I/O 2016 Schedule,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds","Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Building with Watson Technical Web Series,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests
1618055575277164008,Lista tem 15 dicas para Google Docs; teste,"Ultrapar, por meio da Ipiranga, assina compra da Ale por R$ 2,17 bilhões",O uso da vírgula e seus pré-requisitos - Português,"Focada em nuvem, SAP dribla crise e cresce na América Latina | EXAME.com",Portugal runs for four days straight on renewable energy alone,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga
1639450243805666792,Rating the English Proficiency of Countries and Industries Around the World,Mark A Trello Card As Done (And Drop The Mic On That Task),Sign Up for Mike Cohn's Best Content,New settings for 2-Step Verification,Build Quality In: The Key to Continuous Delivery in Kanban,#Sentaquelávemtextão
1642787330067525131,Dasa compra maior rede de laboratórios do Nordeste,Saúde entra na era da indústria 4.0 | EXAME.com,Sophia Genetics chega à América Latina para democratizar a Data-Driven Medicine,A saga do jovem CEO da Dasa,Tecnologia transforma gestão na área de saúde | EXAME.com,Dasa multiplica lucro em 6 vezes no terceiro trimestre
1649085803937938638,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,Amor sem fronteiras: série de fotos retrata casais gays pelo mundo,"No ""Altas Horas"", garoto filho de casal homoafetivo dá lição contra a homofobia",Estudante de Direito dá lição em colegas após virar piada entre eles,"""Não, você não aceita a homossexualidade ainda...""",Campanha do Dicionário Houaiss pretende mudar a definição de família
1649752043999819668,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Hintjens.com,"Stream processing, Event sourcing, Reactive, CEP... and making sense of it all",An Overly Thorough Guide To Underused Android Libraries,World's Fastest Growing Open Source Platform Pushes Out New Release,When will AI and NLP actually turn Siri into your best friend?
1665726676688122621,"Inatel lança seu Smart Campus, um laboratório vivo para demonstração de projetos na área de IoT - Startupi",Chip Pro sequel to crowdsourced $9 computer sets its sights on gadget makers,GE integra inteligência artificial Alexa em uma lâmpada circular,Apresentação da nova placa de desenvolvimento Arduino MKRZero -,Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil,Introducing the Startup Battlefield companies of Disrupt NY 2016
1674373276159762025,Writing good code: how to reduce the cognitive load of your code,One year as a Data Scientist at Stack Overflow,Spotify's Event Delivery - The Road to the Cloud (Part III),Bridging the Communication Gap Between Developers and Architects - DaedTech,Perfect Menu for Mobile Apps - UX Planet,CoreOS's rkt Container Engine Hits 1.0
1698483880714927645,"Google's AI engine is reading 2,865 romance novels to be more conversational","Terrapattern is reverse image search for maps, powered by a neural network",Tensorflow wins,"Feeding 10 billion people with cloud computing: Land O'Lakes, Inc. moves to Google Cloud Platform",Plug the Fathom Neural Compute Stick into any USB device to make it smarter,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur
1734266821019430183,WeChat's world,WeChat's competitor to Slack has arrived,Optimize Your Agile Growth Strategy with Cloud,PCI Compliance & Drupal Commerce: Which Payment Gateway Should I Choose?,Don't Waste Your Time on Networking Events,The next stop on the road to revolution is ambient intelligence
1738052593226421681,Como resolver conflitos no ambiente corporativo us,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,Hackathon - Portal Embrapa,How to augment your career with leadership coaching,Investimentos em coaching e mentoring aumentam nas empresas,Cinco competências comportamentais para você ser um bom líder
1768072794787289517,55 fornecedores de TI que apresentarão novidades no Ciab 2016,1% das empresas dominam 94% das receitas na App Store,The Biggest list of 35 FREE UX Books,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Blockchain Will Be Used By 15% of Big Banks By 2017,Accenture and Adboe team on customer enegagement
1768976290984301641,Top 5 Android Testing Frameworks with Examples,Developing Android unit and instrumentation tests - Tutorial,How Do Top Android Developers QA Test Their Apps?,"ConstraintLayout, Inside and Out: Part 1",Agile: Falta competência nos testes,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment
1772786465683785304,It's Time to Unlearn Everything You Know About Java Exceptions | Takipi Blog,Optimizing the Performance of Vector Drawables - upday devs,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,What the JIT!? Anatomy of the OpenJDK HotSpot VM,Amazon EBS Update - New Elastic Volumes Change Everything | AWS Blog,Um misterioso vórtice escuro surgiu sobre Netuno
1796618361228441836,"Fresco, sim! - Android Dev BR",StrictMode for Runtime Analysis on Android - Google Developers,Creating Compound Views on Android,Android irá recomendar aplicativos baseado na localização | Google Discovery,Android Developers Summer Reading List,SAMSUNG OCEAN - Novas turmas de treinamento de 2017 - Embarcados
1797761064772338938,Mobile Time,Accenture and Adboe team on customer enegagement,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Gartner Hype Cycle for Digital Marketing and Advertising,Making digital strategy a reality in insurance,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle
1828340614995116767,Up your DevOps chops with this online Kubernetes class,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,How a Japanese cucumber farmer is using deep learning and TensorFlow | Google Cloud Big Data and Machine Learning Blog | Google Cloud Platform,Are you a bitcoin denialist? - Chris Skinner's blog,New Amazon Linux Container Image for Cloud and On-Premises Workloads,Automate deployments and traffic splitting with the App Engine Admin API
1851975995406778464,PICNIC,Write Like You Talk,Honda: mulheres já respondem por 50% das vendas via consórcio,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Netflix emociona com vídeo destacando personagens LGBT
1854874463930846880,O dia em que tive mais medo de estar errada.,Para entender o Dia Internacional contra a Homofobia,#Sentaquelávemtextão,Google employees are adding 'Lady' to their job titles to fight sexism,"Meet Bozoma Saint John, the Apple executive who stole the show at WWDC","If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files"
1862503310075246782,Cinco competências essenciais ao IT Leaders - CIO,Failing model: Plastic Card + App and Card + Wallet Players?,The rise of APIs,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,Nubank e Goldman fecham parceria de R$ 200 milhões,Assessing Salesforce's platform and ecosystem | ZDNet
1873952032843878490,Hype Driven Development,How to build cross-platform mobile apps using nothing more than a JSON markup,Communication patterns in a Microservice world,Using Microservices Architecture as API Enablement Strategy,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,Aplicações Financeiras Flexíveis através de DSLs na Plataforma Java
1878784080584939832,What Apple's differential privacy means for your data and the future of machine learning,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet","Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog",One year as a Data Scientist at Stack Overflow,How Airbnb uses Machine Learning to Detect Host Preferences - Airbnb Engineering & Data Science,Up your app's sharing game with DirectShare - Google Developers
1881534532776527237,9 Non-Threatening Leadership Strategies for Women,"A sneak peek at Google's upcoming travel app, Trips",Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,Analyst: Google's cloud business could cause the stock to soar to over $900,"Google's head of advertising talks ad blocking, mobile and micropayments",2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist
1920899299418335515,AI Revolution 101 - AI Revolution,Deep Learning Race: A Survey of Industry Players' Strategies - Intuition Machine,Microsoft's new online certification program kicks off with data science specialization | ZDNet,Cognitive Services-Intelligence Applications | Microsoft Azure,Deck describing how MSFT plans to use Linkedin,Blaise Agüera y Arcas: How computers are learning to be creative
1929674614667189969,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,Google connects BigQuery to Google Drive and Sheets,"Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion",Google cloud boss Diane Greene: We're winning against AWS and Microsoft,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",The economic essentials of digital strategy
1933229167501870037,Perfect Menu for Mobile Apps - UX Planet,Writing good code: how to reduce the cognitive load of your code,LukeW | Obvious Always Wins,Top 100 Best Blogs for iOS Developers to Learn and Gain Insights,Here are the SDKs Top Mobile Apps Use,Adulterated Objective-C
1954074927376897165,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds","Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Event Map For Google I/O 2016 Released,Google Calendar for Android can now find meeting times that work for everyone,Building with Watson Technical Web Series,New Sessions Added To Google I/O 2016 Schedule
1959495508923903948,"Revista MundoLogística - Sistema desenvolvido por estudante do CTC/PUC-RIO gera economia de US$ 10 milhões, no transporte marítimo","Automatic lays off 28% of its workforce, aims for profitability in 2017",Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Optimize Arduino Memory Usage,No-Cost RHEL Developer Subscription now available,Steak Tartare com Salada Verde
1964631817676172382,IAM best practice guides available now,Cognitive Services-Intelligence Applications | Microsoft Azure,"Every shot Kobe Bryant ever took. All 30,699 of them",It's The Future,Deep Learning Race: A Survey of Industry Players' Strategies - Intuition Machine,Mapping the World of Music Using Machine Learning: Part 1 - iHeartRadio Tech Blog
1971653634364577968,TI Bimodal? Receita para o desastre...,Startup uses deep learning to let you shop for items by snapping photos,Paquetá investe em tecnologia inédita no varejo brasileiro,Hero unveils a new home gadget to help you track and dispense pills,Digital Leadership Is Not an Optional Part of Being a CEO,Portal Mercado & Consumo
1990052153136096105,Introducing Ask a Female Engineer,The best-and worst-places to be a working woman,Este é o melhor jeito de entender como as mulheres sofrem machismo na área de TI,"""We only hire the best"" - Signal v. Noise","If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity
1992928170409443117,Google vai reduzir em 50% consumo de memória do Chrome | Google Discovery,Advanced Android Espresso,"Applying the Linus Torvalds ""Good Taste"" Coding Requirement",Google Maps agora mostra se local tem entrada com acessibilidade | Google Discovery,The technology behind preview photos,Google's cloud platform is now a force to be reckoned with
1999466695269209462,"Google Duo, aplicativo de chamadas em vídeo | Google Discovery",YouTube's New Messenger Means You'll Never Have to Leave YouTube,New ways to keep data flowing between your apps and ours,"Opening Google Docs, Sheets, and Slides files on mobile now easier when you're offline","Google just open sourced something called 'Parsey McParseface,' and it could change AI forever",Google Now on Tap estreia no Brasil | Google Discovery
2006478190737700267,Webinar Salesforce - Best Practices for Advanced Lightning Apps,"Adobe, Acquia, Episerver Lead New Forrester WCM Wave",This is the scientific reason we're addicted to our phones,Adobe quer potencializar área de marketing digital - Meio & Mensagem,Salesforce Architect Journey,Especial: O papel dos grandes provedores de TI na Rio 2016
2025471325746532174,Serverless real-time architecture on AWS: there is a way !,Taking Microservices Home - NGINX,Creating Your Code Review Checklist - DaedTech,Angular 2 versus React: There Will Be Blood - Free Code Camp,The Netflix Tech Blog: Distributed Resource Scheduling with Apache Mesos,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema
2032007496318616962,Cientistas trabalham em técnica que permite imprimir alimentos,Buscas on-line por carros têm expansão de 43% no 1º trimestre,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,"Consórcio: Venda de novas cotas cai 13,5% no 1º trimestre",Carros conectados impulsionarão diferentes indústrias | Sonho Seguro,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas
2037560494723407153,[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,[Videos] Bill Gross: The single biggest reason why startups succeed,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",[Books] Biblioteca FIXE: Sugestões de Leitura,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,[Videos] This fake TED Talk about nothing might be the best you've ever seen
2048657552251060795,Creating value in auto finance with vLendRight | Kevin Moseri,Buscas on-line por carros têm expansão de 43% no 1º trimestre,Goodbye accountants! Startup builds AI to automate all your accounting,Carros conectados impulsionarão diferentes indústrias | Sonho Seguro,Cientistas trabalham em técnica que permite imprimir alimentos,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas
2072448887839540892,"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",Unilever Buys Dollar Shave Club for $1 Billion,How Blockchain Technology Can Improve the Insurance Industry,"Facebook says 10K+ developers are building chatbots, analytics coming",Threaded messaging is coming to Slack,The rise of APIs
2081512200574495983,Chip Pro sequel to crowdsourced $9 computer sets its sights on gadget makers,"Inatel lança seu Smart Campus, um laboratório vivo para demonstração de projetos na área de IoT - Startupi",The internet of stings,Aussie Uses Arduino Chips To Roboticize a Ford Focus,GE integra inteligência artificial Alexa em uma lâmpada circular,Vídeos de testes unitários em sistemas embarcados - Embarcados
2096088841518695759,A publicidade sem ROI acaba de morrer: adapte-se ou junte-se a ela - Meio & Mensagem,Mulheres são mais criativas que homens?,PICNIC,Tendências do Marketing de Conteúdo 2016,Google is quietly making progress on one of its most jaw-dropping tech projects,Que novas oportunidades poderemos criar com Blockchain? - CIO
2103268612948910635,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Savage Love Letter of the Day: Get Out There and Fight,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas"
2106559900295325351,"Applying the Linus Torvalds ""Good Taste"" Coding Requirement",An Overly Thorough Guide To Underused Android Libraries,Combining Spring Boot and JDBI,Google vai reduzir em 50% consumo de memória do Chrome | Google Discovery,Usando o git add interativo,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog
2122245305662000853,Today in Apple history: iBook ushers in a Wi-Fi revolution,A Beginner's Guide To Understanding Convolutional Neural Networks,The barbell effect of machine learning.,"Autofill: What web devs should know, but don't",Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Dark Scrum
2124033843135988844,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,LOGOBR School | Behance Reviews Campinas 2016,Ethereum Used for 'First' Paid Energy Trade Using Blockchain Tech - CoinDesk,20+ Docs and Guides for Front-end Developers (No. 9),TAM recebe primeira aeronave com o design e pintura da LATAM e avança na implantação da nova marca!,Open Source Giant Red Hat Launches First Blockchain Initiative - CoinDesk
2134259819148812594,"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls",Portal Abrasce - Conhecendo o frequentador de shopping center,Não existe frete grátis!,As compras e os hábitos dos brasileiros no shopping | EXAME.com,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Dafiti registra alto crescimento no 1º semestre de 2016
2156244701966673186,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção","National Coming Out Day - Wikipedia, the free encyclopedia",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Brasileira do rúgbi é pedida em casamento durante premiação,"contentId
7078276984547732873    How Companies Are Using Machine Learning to Ge...
7078276984547732873    How Companies Are Using Machine Learning to Ge...
Name: title, dtype: object"
2215773447123360543,Como a Netshoes se preparou para a Black Friday deste ano,Black Friday salva o ano do e-commerce,"Fundador da Netshoes fala ao E-Commerce Brasil sobre inovação, gestão de pessoas e futuro",Ranking 50 Maiores Empresas do E-commerce Brasileiro/2016,Citroën lança e-commerce de carros,Alibaba quebra recorde de vendas no Dia dos Solteiros - e-commerce
2220561310072186802,5 Skills You Need to Become a Machine Learning Engineer | Udacity,Graph Capabilities with the Elastic Stack,Kubernetes,Docker inside docker and overview about Jenkins 2,"Every shot Kobe Bryant ever took. All 30,699 of them",IAM best practice guides available now
2229625391864201918,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,Tracking Multiple Categories in Google Analytics for Content Pages - E-Nor | Google Analytics Blog,My Approach to Mobile Accessibility Testing - Ministry of Testing,Agile: Falta competência nos testes,3 noções básicas essenciais para a criação de uma suíte de automação para aplicativos web,"YouTube pode lançar serviço de televisão online ""Unplugged"" em 2017 | Google Discovery"
2231749805468232267,Road to Polymer 2.0,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,2.3.0 Release Notes,From fine wine to lotteries: Blockchain tech takes off - BBC News,Fuchsia: Google está construindo um novo sistema operacional sem estrutura do Linux | Google Discovery,Facebook Thinks It Has Found the Secret to Making Bots Less Dumb
2244894675266276573,"Microservices Reference Architecture, Part 4 -12‑Factor App",Spring Boot 1.4 released,Migrating to the New Java 8 Date Time API | Baeldung,"A Geospatial Messenger with Kotlin, Spring Boot and PostgreSQL",Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog"
2250978527027854837,Google Expands Android Pay APIs,"contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object",Building AI Is Hard-So Facebook Is Building AI That Builds AI,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Accidental discovery could help batteries last years longer,"Estonia wants to become a 'country as a service' and already has 10,000 virtual residents"
2259988589066296676,Meio&Mensagem,Hero unveils a new home gadget to help you track and dispense pills,Meet the new Brazilian consumer,Time Pressure: Behavioral Science Considerations for Mobile Marketing,Gartner Hype Cycle for Digital Marketing and Advertising,Mobile Time
2262656830196923781,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Migrating to the New Java 8 Date Time API | Baeldung,Spring Boot 1.4 released,Introducing Kotlin support in Spring Framework 5.0,SOA com microserviços - Sensedia,"Microservices Reference Architecture, Part 4 -12‑Factor App"
2267321579404324900,Migrating from Parse to Bluemix,Soylent's new drink will replace your breakfast and morning coffee,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Olli: Artificial Intelligence for the real world of connected commuting,"contentId
8416004328454490172    Real World Swift Performance
8416004328454490172    Real World Swift Performance
Name: title, dtype: object"
2271793263120018251,Artificial Intelligence Can Now Design Realistic Video and Game Imagery,New blog from Dries: How should you decouple Drupal?,How Inflation Is Stealing Your Money: Can Cryptocurrency Solve Inflation on a Global Scale?,When will AI and NLP actually turn Siri into your best friend?,Effective learning through code workshops | Box Blog,"E quando o cliente diz ""Não gostei""?"
2277184202014276839,How to build cross-platform mobile apps using nothing more than a JSON markup,Building a Facebook Chat Bot with Node and Heroku,How to Start a Telegram Bot With PHP,Communication patterns in a Microservice world,Create a Slack Bot to Interact with Your Wiki,O futuro das interfaces: Chatbots - Tableless
2280365999288629014,The Best Linux Distros of 2016,Google lança Cloud Functions,"Facebook sends a loud message about Messenger bots, but will we hear it?",Programming by poking: why MIT stopped teaching SICP,How I got into the top 15 of a Kaggle competition in 3 days: A Python Tutorial,It's The Future
2282385028752844581,Kickstarter 3D printer will print circuit boards as part of your designs,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Apresentação da nova placa de desenvolvimento Arduino MKRZero -,"Signs suggest that 101Hero, the $49 3D printer, was too good to be true","STEMTera, uma protoboard com Arduino Uno embutido","Conheça Ember, a impressora 3D com hardware e software aberto da Autodesk"
2285214528595997209,Docker e .Net,Kubernetes,Machine Intelligence - Research at Google,The Hardest Part About Microservices: Your Data,Aplicação de visão computacional com OpenCV,Google's Cloud Investments are Finally Starting to Pay Off
2285392309373358857,How Apple Keyboards Lost a Logo and Windows PCs Gained One,"Building Chatbots with Node.js - Online Training - July 13 & 14, 2016","Tenho várias ideias de negócios, qual devo levar adiante?","Dag Kittlaus, co-founder of Siri, will give the world's first demo of a next gen AI called Viv at Disrupt NY",You're Asking Too Much of Chat Bots. Just Let Them Grow Up,Building AI Is Hard-So Facebook Is Building AI That Builds AI
2301338403202434417,Top 10 GCP sessions from Google I/O 2016,Google Cloud Datastore gets faster cross-platform API,Uma recepção eficiente,Why Steve Jobs Was Proud to Steal Ideas,Dries Buytaert,Enable secure mode on your web product | Intercom Docs
2313825045587317872,Spotify's Event Delivery - The Road to the Cloud (Part III),CoreOS's rkt Container Engine Hits 1.0,Scanning hyperspace: how to tune machine learning models,Google Is About to Supercharge Its TensorFlow Open Source AI,Writing good code: how to reduce the cognitive load of your code,Docker Cleanup Scripts Comparison
2317969739828155334,Code reuse in microservices architecture - with Spring Boot,Spring Boot 1.4 released,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,"A Geospatial Messenger with Kotlin, Spring Boot and PostgreSQL",Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,"Webinário gratuito ""Como analisar um AWR Report"""
2321412363020240814,Lean IT is all about people - o Lean na TI é focado em pessoas,[Coursera] Introduction to Communication Science - University of Amsterdam | Coursera,How to augment your career with leadership coaching,Onde a tecnologia e o cuidado se encontram? - Saúde Business,10 principles of business transformation,Qual é o valor da área de T&D na sua empresa?
2333823948799779498,Segment helps businesses integrate third-party sources into their data pipelines,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Threaded messaging is coming to Slack,"Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free",Bot Engine,Tendências do Marketing de Conteúdo 2016
2362495898257544462,How Do Top Android Developers QA Test Their Apps?,Optimizing the Performance of Vector Drawables - upday devs,UE não dá sossego ao Google. Novo alvo? O AdSense,Um misterioso vórtice escuro surgiu sobre Netuno,Practical VPC Design - AWS Startup Collection,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment
2372438485070148864,The Continuous Delivery Maturity Model,Monitoramento em tempo real com Elasticsearch e Kibana,The Hardest Part About Microservices: Your Data,Docker e .Net,Modelando APIs REST com Swagger,Serverless real-time architecture on AWS: there is a way !
2384931701643938149,Google HR chief Laszlo Bock leaving to launch startup,Accept questions from your audience when presenting in Google Slides,Skully officially admits it's over,Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,Shutter Island (2010),Staying one step ahead at Pixar: An interview with Ed Catmull
2388097612905924826,"Open Source Won. So, Now What?",AWS Certified Solutions Architect Professional – Study Guide – Domain 3.0: Deployment Management (10%),My Top 9 Favorite Python Deep Learning Libraries - PyImageSearch,Uber China will reportedly merge with archrival Didi Chuxing,Dries Buytaert: Advancing Drupal's web services,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl
2393972361498749268,"Chrome 52 Beta: CSS containment, simpler performance measurement, streamable responses from service workers, and more options for web push",Chrome extension brings Medium's best feature to the whole Web,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters",Threaded messaging is coming to Slack,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist
2399228553079505025,The Competitive Landscape for Machine Intelligence,Self-Learning AI: This New Neuro-Inspired Computer Trains Itself,The Competitive Landscape for Machine Intelligence,"Secret's founder returns with Bold, a Medium for enterprise","Google saves Allo conversations, a win for machine learning but a loss for privacy - Tech2",Introducing the Open Images Dataset
2415534163825594672,Hintjens.com,DBA BRASIL no INTEROPMIX 2016,Este texto do Ranieri é a melhor coisa que você lerá hoje,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Million Song Dataset | scaling MIR research,Elastic Stack 5.0.0 Released
2417383163258637695,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise",71 erros de vocabulário e pronúncia em inglês que você faz,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',You don't talk about refactoring club,Criando ícones animados no Android,Dark Scrum
2429264894470039764,Google's Hangouts still has a future: as an enterprise communication app,Fuchsia: Google está construindo um novo sistema operacional sem estrutura do Linux | Google Discovery,Operator fuses bots with humans to build cyborg shopping experts,Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar,Apple and Google Are Teaming Up to Kill Robocalls Forever,"Google Save, serviço para salvar coisas da web, chega ao Brasil | Google Discovery"
2434296883874412747,UX - Como identificar o comportamento do usuário? - Tableless,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Deputada mais jovem da Câmara silencia o plenário com lucidez do discurso (veja o vídeo),"No ano em que a Apple completa 40 anos, confira a evolução do iPhone",An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,Plug the Fathom Neural Compute Stick into any USB device to make it smarter
2435024834845042614,How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Meet Aquifer: A build system for easier Drupal development,Deep Learning Race: A Survey of Industry Players' Strategies - Intuition Machine,Introduction to Natural Language Processing - University of Michigan | Coursera,Dries Buytaert
